Transaction Date,Post Date,Description,Category,Type,Amount,Memo
11/18/2024,11/19/2024,AMAZON MKTPL*C76JH6WP3,Shopping,Sale,-18.09,
11/12/2024,11/13/2024,Prime Video Channels,Shopping,Sale,-8.53,
11/09/2024,11/10/2024,Amazon.com*VU4043KE3,Shopping,Sale,-59.00,
11/10/2024,11/10/2024,AMAZON MKTPL*VZ4YK47X3,Shopping,Sale,-10.66,
11/08/2024,11/08/2024,Payment Thank You-Mobile,,Payment,441.85,
11/01/2024,11/03/2024,Prime Video Channels,Shopping,Sale,-18.14,
11/01/2024,11/03/2024,Prime Video Channels,Shopping,Sale,-5.33,
10/31/2024,11/01/2024,Amazon Kids+*1H2NX3AR3,Shopping,Sale,-6.39,
10/27/2024,10/28/2024,Whole Foods VND 10444,Groceries,Sale,-147.70,
10/27/2024,10/28/2024,Whole Foods VND 10444,Groceries,Sale,-53.97,
10/26/2024,10/27/2024,Payment Thank You-Mobile,,Payment,440.00,
10/24/2024,10/25/2024,AMAZON MKTPL*JI1DD6SO3,Shopping,Sale,-14.06,
10/16/2024,10/17/2024,AMAZON MKTPL*H25BA02N3,Shopping,Sale,-18.37,
10/16/2024,10/17/2024,AMAZON MKTPL*S20FU10T3,Shopping,Sale,-5.19,
