Transaction Date,Post Date,Description,Category,Type,Amount,Memo
12/01/2024,12/02/2024,Amazon.com*ZL1ID7L80,Shopping,Sale,-68.51,
12/01/2024,12/02/2024,AMAZON MKTPL*ZL8R10LT2,Shopping,Sale,-19.20,
11/29/2024,12/01/2024,Amazon.com*Z364C4KV0,Shopping,Sale,-101.84,
11/29/2024,12/01/2024,Amazon.com*Z35U13S02,Shopping,Sale,-371.49,
11/27/2024,11/28/2024,AMZN Mktp US*Z369W1X70,Shopping,Sale,-21.00,
11/22/2024,11/22/2024,Payment Thank You - Web,,Payment,240.00,
11/21/2024,11/22/2024,AMAZON MKTPL*J87OM5YW3,Shopping,Sale,-13.87,
11/21/2024,11/22/2024,AMAZON MKTPL*3Q6LQ1ZC3,Shopping,Sale,-342.57,
11/18/2024,11/19/2024,AMAZON MKTPL*C76JH6WP3,Shopping,Sale,-18.09,
